60.0,31.0,2.0,2001.0,310.5,5.3,5.2,10.23,2.0,2.0,1
130.0,31.0,2.0,2001.0,310.5,5.3,5.2,6.2,1.0,2.0,3
135.0,31.0,2.0,2001.0,310.5,5.32,5.2,10.12,1.0,2.0,4
70.0,32.0,1.0,1984.0,310.5,5.5,5.2,6.2,1.0,3.0,0
80.0,31.0,1.0,1984.0,310.5,5.3,5.2,6.1,1.0,3.0,1
90.0,31.0,1.0,1988.0,310.5,1.0,5.2,6.1,1.0,3.0,1
90.0,31.0,1.0,1988.0,310.5,5.3,5.2,6.1,1.0,3.0,1
90.0,31.0,1.0,1988.0,310.5,5.3,5.2,6.1,1.0,3.0,1
140.0,31.0,3.0,1977.0,309.1,6.0,11.5,1.0,1.0,2.0,4
110.0,31.0,1.0,1988.0,309.1,6.5,5.5,6.1,1.0,3.0,4
115.0,32.0,2.0,1939.0,310.4,1.0,5.2,10.23,3.0,2.0,4
80.0,32.0,2.0,1939.0,310.5,5.3,5.2,10.22,1.0,2.0,1
80.0,32.0,2.0,1956.0,310.5,5.3,5.2,9.0,1.0,2.0,0
112.0,31.0,1.0,1976.0,312.1,5.8,5.8,10.22,2.0,3.0,4
131.0,31.0,1.0,1976.0,310.5,0.5,0.5,6.1,1.0,3.0,4
83.0,31.0,1.0,1979.0,312.1,5.5,5.2,6.1,1.0,3.0,2
97.0,31.0,1.0,1979.0,312.1,5.8,5.8,1.0,1.0,3.0,4
97.0,31.0,2.0,1975.0,310.5,5.3,5.2,6.2,2.0,3.0,3
160.0,31.0,3.0,1977.0,310.5,5.3,5.2,6.2,1.0,2.0,4
74.0,31.0,2.0,1975.0,312.1,5.3,5.8,10.12,2.0,3.0,2
127.0,31.0,2.0,1975.0,310.5,0.5,0.5,6.1,1.0,3.0,4
95.0,31.0,2.0,1973.0,311.3,8.0,8.0,1.0,2.0,3.0,2
101.0,31.0,1.0,1998.0,309.1,6.0,10.2,1.3,1.0,2.0,2
83.0,31.0,1.0,1979.0,312.1,5.0,5.2,4.1,1.0,3.0,3
85.0,31.0,1.0,1979.0,312.1,5.0,5.8,6.2,2.0,3.0,2
84.0,31.0,1.0,1970.0,304.1,5.0,5.2,10.12,1.0,3.0,1
97.0,31.0,1.0,1970.0,312.1,5.8,5.8,6.2,1.0,3.0,4
100.0,31.0,1.0,1970.0,312.1,5.8,5.8,6.2,1.0,3.0,4
97.0,31.0,1.0,1984.0,310.5,5.3,5.1,10.22,2.0,3.0,2
160.0,31.0,3.0,1977.0,310.5,5.3,5.2,6.2,2.0,2.0,4
96.0,31.0,1.0,1984.0,310.5,5.1,5.2,10.23,1.0,3.0,1
61.0,31.0,1.0,1984.0,312.1,5.8,5.8,6.2,1.0,2.0,3
100.0,31.0,1.0,1980.0,312.1,5.8,5.2,1.0,1.0,2.0,4
80.0,32.0,1.0,1977.0,312.1,5.8,5.8,6.2,1.0,3.0,1
